epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,404.636,0.63923,0.61118,0.96054,0.87448,0.80086,0.86209,0.71937,0.70299,0.62343,1.00495,8.008e-05,8.008e-05,8.008e-05
42,414.23,0.63524,0.57034,0.97867,0.87776,0.79742,0.86149,0.71372,0.69465,0.63135,1.00231,7.2457e-05,7.2457e-05,7.2457e-05
43,423.96,0.6269,0.56631,0.95025,0.8841,0.79707,0.86056,0.72584,0.69058,0.64401,1.00205,6.4834e-05,6.4834e-05,6.4834e-05
44,433.682,0.6269,0.56897,0.94921,0.88275,0.8033,0.88862,0.72997,0.69168,0.65428,1.00373,5.7211e-05,5.7211e-05,5.7211e-05
45,443.497,0.59679,0.55974,0.96444,0.86763,0.81423,0.88899,0.73203,0.69193,0.65278,1.00355,4.9588e-05,4.9588e-05,4.9588e-05
46,453.067,0.62972,0.57338,0.95907,0.85281,0.82008,0.88804,0.73494,0.69008,0.64328,1.00236,4.1965e-05,4.1965e-05,4.1965e-05
47,462.921,0.65077,0.54622,0.95893,0.82895,0.82568,0.8881,0.73943,0.68999,0.63282,1.00068,3.4342e-05,3.4342e-05,3.4342e-05
48,472.534,0.5833,0.53225,0.94982,0.74904,0.89815,0.88813,0.73925,0.69104,0.62202,0.99934,2.6719e-05,2.6719e-05,2.6719e-05
49,482.409,0.59377,0.52159,0.94163,0.75011,0.89815,0.86048,0.71854,0.69547,0.61614,0.99992,1.9096e-05,1.9096e-05,1.9096e-05
50,492.832,0.59323,0.51658,0.95194,0.75914,0.89815,0.86,0.71859,0.69889,0.61158,1.00029,1.1473e-05,1.1473e-05,1.1473e-05
